/home/chris/miniconda3/envs/LTN/bin/python /dat/proj/LTN-STS/examples/example1.py

================================================================================================================
[device] cuda:1 ∈ [cuda:0, cuda:1, cuda:2, cuda:3]
================================================================================================================




###
# Dataset
###



###
# LTN setting
###



###
# Utils
###



###
# Learning
###
 epoch 0 | loss 0.5026 | Train Sat 0.498 | Test Sat 0.497 | Train Acc 0.340 | Test Acc 0.280
 epoch 20 | loss 0.4997 | Train Sat 0.500 | Test Sat 0.500 | Train Acc 0.520 | Test Acc 0.460
 epoch 40 | loss 0.4984 | Train Sat 0.502 | Test Sat 0.502 | Train Acc 0.520 | Test Acc 0.520
 epoch 60 | loss 0.4972 | Train Sat 0.503 | Test Sat 0.503 | Train Acc 0.560 | Test Acc 0.600
 epoch 80 | loss 0.4955 | Train Sat 0.505 | Test Sat 0.506 | Train Acc 0.620 | Test Acc 0.560
 epoch 100 | loss 0.4929 | Train Sat 0.507 | Test Sat 0.509 | Train Acc 0.640 | Test Acc 0.580
 epoch 120 | loss 0.4888 | Train Sat 0.511 | Test Sat 0.513 | Train Acc 0.620 | Test Acc 0.600
 epoch 140 | loss 0.4824 | Train Sat 0.518 | Test Sat 0.520 | Train Acc 0.680 | Test Acc 0.640
 epoch 160 | loss 0.4729 | Train Sat 0.528 | Test Sat 0.530 | Train Acc 0.760 | Test Acc 0.680
 epoch 180 | loss 0.4596 | Train Sat 0.541 | Test Sat 0.542 | Train Acc 0.820 | Test Acc 0.760
 epoch 200 | loss 0.4426 | Train Sat 0.558 | Test Sat 0.558 | Train Acc 0.800 | Test Acc 0.800
 epoch 220 | loss 0.4224 | Train Sat 0.579 | Test Sat 0.576 | Train Acc 0.800 | Test Acc 0.780
 epoch 240 | loss 0.4004 | Train Sat 0.601 | Test Sat 0.593 | Train Acc 0.800 | Test Acc 0.800
 epoch 260 | loss 0.3767 | Train Sat 0.625 | Test Sat 0.611 | Train Acc 0.900 | Test Acc 0.820
 epoch 280 | loss 0.3513 | Train Sat 0.650 | Test Sat 0.630 | Train Acc 0.900 | Test Acc 0.820
 epoch 300 | loss 0.3253 | Train Sat 0.676 | Test Sat 0.651 | Train Acc 0.880 | Test Acc 0.860
 epoch 320 | loss 0.3004 | Train Sat 0.701 | Test Sat 0.672 | Train Acc 0.880 | Test Acc 0.900
 epoch 340 | loss 0.2774 | Train Sat 0.724 | Test Sat 0.692 | Train Acc 0.900 | Test Acc 0.920
